text,language
Los ingenieros diseñaron un nuevo sistema de transporte,es
Die antiken Ruinen wurden von Archäologen entdeckt und untersucht,de
Wälder bieten Lebensraum für unzählige Wildtierarten und Pflanzen,de
I maratoneti hanno completato la gara in tempi record straordinari,it
Los arrecifes de coral sustentan una increíble diversidad marina,es
Birds migrate thousands of miles every year instinctively,en
Leer libros mejora el vocabulario y la imaginación,es
The chef prepared an extraordinary three course dinner,en
El primer ministro anunció nuevas medidas de reforma económica,es
Die neue Politik wird Millionen von Bürgern direkt betreffen,de
The championship game attracted millions of television viewers,en
Water scarcity affects over two billion people globally,en
Der Berggipfel war mit ewigem Schnee und Eis bedeckt,de
La musique a le pouvoir de transcender les frontières culturelles,fr
Il vaccino si è dimostrato altamente efficace contro il virus pericoloso,it
Music has the power to transcend cultural boundaries,en
The documentary explored the depths of the ocean,en
Die Fusion schuf das größte Unternehmen der gesamten globalen Industrie,de
La pénurie d eau touche plus de deux milliards de personnes mondiales,fr
Sie spazierte langsam durch den herbstlichen Wald am Nachmittag,de
O texto antigo foi finalmente decifrado por linguistas especializados e competentes,pt
Los astrónomos detectaron señales de radio de una galaxia lejana,es
O primeiro ministro anunciou novas medidas de reforma econômica para o país,pt
Os engenheiros projetaram um novo sistema de transporte revolucionário,pt
L avalanche a enseveli plusieurs bâtiments de la station de ski,fr
The river delta is home to unique bird species,en
Los niños que leen desarrollan capacidades cognitivas más sólidas,es
La ricerca genetica offre nuove speranze per le malattie ereditarie,it
Der antike Text wurde von Linguisten nach jahrelanger Forschung endlich entschlüsselt,de
Gli astronauti sono tornati sani dalla stazione spaziale internazionale,it
The concert was absolutely spectacular last night,en
Agriculture remains the backbone of many developing economies,en
Les astronomes ont détecté des signaux radio d une galaxie lointaine,fr
Quantencomputing könnte die moderne Kryptographie und Datensicherheit revolutionieren,de
Digitale Transformation ist für das Überleben moderner Unternehmen unerlässlich,de
Fresh fruits and vegetables are essential for health,en
The submarine explored previously uncharted ocean depths,en
O terremoto causou destruição generalizada em toda a região afetada,pt
Le calotte polari si stanno sciogliendo a un ritmo allarmante preoccupante,it
She walked slowly through the autumn forest,en
Musik hat die Kraft kulturelle Grenzen zu überwinden und Menschen zu verbinden,de
Die Brücke wurde so konstruiert dass sie extremen Wetterbedingungen standhält,de
Die Marathonläufer beendeten das Rennen in Rekordzeit und gewannen,de
Les ingénieurs ont conçu un nouveau système de transport révolutionnaire,fr
The library holds thousands of rare historical manuscripts,en
Lo chef ha preparato una straordinaria cena di tre portate prelibate,it
Les satellites surveillent les conditions météorologiques depuis l orbite,fr
The telescope revealed galaxies billions of light years away,en
Les oiseaux migrent sur des milliers de kilomètres chaque année,fr
Urban planning shapes the future of our growing cities,en
La orquesta sinfónica actuó ante una sala de conciertos llena,es
La méditation aide à réduire le stress et améliorer la clarté mentale,fr
A energia solar poderia teoricamente alimentar o planeta inteiro sem poluição,pt
La expedición cruzó con éxito el continente antártico helado,es
L inquinamento oceanico minaccia la sopravvivenza degli ecosistemi marini fragili,it
A democracia requer participação ativa de todos os cidadãos engajados,pt
La exploración espacial inspira a las futuras generaciones de científicos,es
A cidade subterrânea foi descoberta nas profundezas do deserto árido,pt
A transformação digital é essencial para a sobrevivência das empresas modernas,pt
A educação é o alicerce de uma sociedade próspera e moderna,pt
Biodiversity is essential for maintaining ecosystem balance,en
Le rovine antiche sono state scoperte dagli archeologi esperti,it
La robótica está revolucionando la fabricación y la logística,es
Die Bemühungen zum Schutz der Tierwelt haben positive Ergebnisse gezeigt,de
A mudança climática apresenta desafios significativos para o mundo todo,pt
El delta del río alberga especies únicas de aves migratorias,es
Las computadoras procesan información a velocidades increíbles hoy,es
Erneuerbare Energiequellen werden zunehmend erschwinglicher für alle,de
Kinder lernen Sprachen viel schneller als Erwachsene es können,de
Il sito archeologico ha rivelato artefatti di antiche civiltà dimenticate,it
Vögel wandern jedes Jahr instinktiv Tausende von Kilometern weit,de
El aprendizaje automático está transformando las industrias,es
L antico testo è stato finalmente decifrato da linguisti competenti,it
The prime minister announced new economic reform measures,en
Il professore ha tenuto una lezione ispiratrice agli studenti attenti,it
A expedição atravessou com sucesso o continente antártico gelado,pt
La democracia requiere participación activa de los ciudadanos,es
Die archäologische Stätte enthüllte Artefakte aus uralten vergangenen Zivilisationen,de
Le aziende tecnologiche investono massicciamente nella ricerca sull IA,it
O debate sobre a política de imigração continua no parlamento nacional,pt
La rivière coule doucement à travers la verte vallée,fr
Die Wirtschaft wuchs während des gesamten Geschäftsjahres stetig an,de
La fotografia cattura momenti che altrimenti andrebbero perduti per sempre,it
Meditation hilft Stress abzubauen und die geistige Klarheit zu verbessern,de
Lei camminava lentamente attraverso la foresta autunnale serena,it
Technology companies are investing heavily in AI research,en
As calotas polares estão derretendo em um ritmo alarmante e preocupante,pt
The spacecraft transmitted data from the outer solar system,en
El debate sobre la política migratoria continúa en el parlamento,es
Le tourisme est une source majeure de revenus pour les îles,fr
Kinder brauchen eine angemessene Ernährung für ihre gesunde Entwicklung,de
Le fonti di energia rinnovabile stanno diventando sempre più accessibili,it
Innovation drives economic growth in competitive markets,en
El cambio climático plantea desafíos significativos mundiales,es
L intelligenza artificiale sta cambiando rapidamente il nostro mondo moderno,it
Der Vertrag wurde von Vertretern zwölf souveräner Nationen unterzeichnet,de
Le référendum déterminera l avenir politique de la région autonome,fr
Gli astronomi hanno rilevato segnali radio da una galassia distante,it
Das Wetter heute ist sehr angenehm und sonnig draußen,de
La conciencia sobre la salud mental ha crecido considerablemente,es
La cité souterraine a été découverte sous le désert aride,fr
O pico da montanha estava coberto de neve eterna e gelo,pt
Os resultados eleitorais surpreenderam muitos analistas políticos experientes,pt
The film received numerous awards at international festivals,en
I risultati elettorali hanno sorpreso molti analisti politici esperti,it
Bildung ist das Fundament einer wohlhabenden modernen Gesellschaft,de
Le temps aujourd hui est très agréable et ensoleillé,fr
Computer verarbeiten Informationen heute mit unglaublicher Geschwindigkeit,de
La investigación genética ofrece nuevas esperanzas para enfermedades,es
La robotica sta rivoluzionando la produzione e la logistica mondiale,it
A economia cresceu de forma constante ao longo de todo o ano fiscal,pt
El submarino exploró profundidades oceánicas nunca antes cartografiadas,es
La cima della montagna era ricoperta di neve eterna e ghiaccio,it
Das Bewusstsein für psychische Gesundheit ist erheblich gewachsen,de
Der Garten erblühte mit farbenfrohen Frühlingsblumen in voller Pracht,de
O submarino explorou profundezas oceânicas nunca antes mapeadas,pt
La música tiene el poder de trascender las fronteras culturales,es
A bolsa de valores atingiu um recorde histórico ontem à tarde,pt
The merger created the largest company in the industry,en
Los corredores de maratón completaron la carrera en tiempo récord,es
Les forêts fournissent un habitat pour d innombrables espèces sauvages,fr
Der Premierminister kündigte neue wirtschaftliche Reformmaßnahmen für das Land an,de
Ocean pollution threatens the survival of marine ecosystems,en
Ingenieure entwarfen ein revolutionäres neues Transportsystem für die Stadt,de
Les enfants qui lisent développent des capacités cognitives plus solides,fr
L exploration spatiale inspire les futures générations de scientifiques,fr
La spedizione ha attraversato con successo il continente antartico ghiacciato,it
El chef preparó una extraordinaria cena de tres platos,es
El sitio arqueológico reveló artefactos de civilizaciones antiguas,es
L apprentissage automatique transforme les industries modernes,fr
Die Bibliothek beherbergt Tausende seltener historischer Manuskripte,de
Le sous marin a exploré des profondeurs océaniques inexplorées,fr
O novo medicamento reduziu significativamente o tamanho do tumor canceroso,pt
A meditação ajuda a reduzir o estresse e melhorar a clareza mental,pt
La trasformazione digitale è essenziale per la sopravvivenza delle aziende,it
Il fiume scorre dolcemente attraverso la verde valle montana,it
A fotografia captura momentos que de outra forma seriam perdidos para sempre,pt
Die Polarkappen schmelzen in einem alarmierend schnellen und besorgniserregenden Tempo,de
La biblioteca conserva miles de manuscritos históricos raros,es
Il cambiamento climatico pone sfide significative per tutto il mondo,it
Les sources d énergie renouvelables deviennent de plus en plus abordables,fr
Die Landwirtschaft bleibt das Rückgrat vieler Entwicklungsländer weltweit,de
Computers process information at incredible speeds today,en
L hôpital a introduit de nouvelles procédures de traitement médical,fr
Los resultados electorales sorprendieron a muchos analistas políticos,es
Os cientistas estão trabalhando em uma cura para a doença rara,pt
Astronomen entdeckten Radiosignale aus einer weit entfernten Galaxie im Universum,de
Il dipinto è stato venduto per una somma straordinaria all asta,it
Ler livros melhora o vocabulário e a imaginação das crianças,pt
Künstliche Intelligenz unterstützt Ärzte bei der Diagnose komplexer Krankheiten,de
L agricoltura urbana fornisce cibo fresco nelle aree densamente popolate,it
A inteligência artificial está mudando rapidamente nosso mundo moderno,pt
Traditionelle Musik spiegelt die Geschichte und Seele einer Kultur wider,de
A cooperação internacional é vital para enfrentar os desafios globais,pt
La fusion a créé la plus grande entreprise de l industrie mondiale,fr
O tempo hoje está bastante agradável e ensolarado por toda parte,pt
Il ponte è stato progettato per resistere a condizioni meteorologiche estreme,it
La frutta e la verdura fresche sono essenziali per la salute,it
La nueva política afectará a millones de ciudadanos,es
El nuevo medicamento redujo significativamente el tamaño del tumor,es
La democrazia richiede la partecipazione attiva di tutti i cittadini,it
O vírus se espalhou rapidamente além das fronteiras internacionais,pt
Il sottomarino ha esplorato profondità oceaniche mai cartografate prima,it
Die Expedition überquerte erfolgreich den gefrorenen antarktischen Kontinent,de
Die Dokumentation erkundete die Tiefen des Pazifischen Ozeans,de
El tratado fue firmado por representantes de doce naciones soberanas,es
Il progetto bibliotecario ha collegato comunità remote al sapere e cultura,it
Les enfants apprennent les langues beaucoup plus vite que les adultes,fr
Der Fluss fließt sanft durch das grüne Tal der Berge,de
La biblioteca conserva migliaia di rari manoscritti storici preziosi,it
Los satélites monitorean los patrones climáticos desde la órbita,es
Demokratie erfordert aktive Beteiligung aller engagierten Bürger,de
La planificación urbana da forma al futuro de nuestras ciudades,es
Leggere libri migliora il vocabolario e la fantasia dei ragazzi,it
El profesor impartió una conferencia inspiradora a los estudiantes,es
Il primo ministro ha annunciato nuove misure di riforma economica,it
Le pont a été conçu pour résister aux conditions météorologiques extrêmes,fr
Le virus s est répandu rapidement au delà des frontières internationales,fr
Las frutas y verduras frescas son esenciales para la salud,es
El hospital introdujo nuevos procedimientos de tratamiento médico,es
L energia solare potrebbe teoricamente alimentare l intero pianeta,it
Internationale Zusammenarbeit ist für die Bewältigung globaler Herausforderungen entscheidend,de
Straßenkunst verwandelt städtische Räume in beeindruckende Freiluftgalerien für alle,de
La bibliothèque contient des milliers de manuscrits historiques rares,fr
O jogo do campeonato atraiu milhões de telespectadores ao redor do mundo,pt
Il turismo è una fonte importante di entrate per le nazioni insulari,it
Das Teleskop enthüllte Galaxien Milliarden von Lichtjahren entfernt,de
El jardín floreció con coloridas flores de primavera,es
A música tradicional reflete a história e a alma de uma cultura,pt
L art de rue transforme les espaces urbains en galeries à ciel ouvert,fr
Os computadores processam informações a velocidades incríveis no mundo moderno,pt
Scientists are working on a cure for the rare disease,en
Las empresas tecnológicas invierten en investigación de IA,es
O aprendizado de máquina está transformando as indústrias modernas globalmente,pt
Gli scienziati stanno lavorando a una cura per la malattia rara,it
El virus se propagó rápidamente a través de fronteras internacionales,es
Il delta del fiume ospita specie di uccelli uniche che non esistono altrove,it
The marathon runners completed the race in record time,en
El alud sepultó varios edificios del complejo de esquí,es
Satellites monitor weather patterns from orbit continuously,en
L informatique quantique pourrait révolutionner la cryptographie moderne,fr
Quantum computing could revolutionize cryptography forever,en
Les coureurs de marathon ont terminé la course en temps record,fr
El arte callejero transforma los espacios urbanos en galerías,es
Fotografie hält Momente fest die sonst verloren gehen würden für immer,de
El puente fue diseñado para resistir condiciones climáticas extremas,es
Climate change poses significant challenges worldwide,en
Children learn languages much faster than adults do,en
The garden bloomed with colorful spring flowers,en
Los sistemas de salud enfrentan presión creciente de poblaciones envejecidas,es
Los científicos trabajan en una cura para la enfermedad rara,es
Le film a reçu de nombreuses récompenses dans des festivals internationaux,fr
O debate sobre energia nuclear permanece altamente controverso politicamente,pt
As crianças que leem desenvolvem habilidades cognitivas mais fortes,pt
Le chef a préparé un extraordinaire dîner de trois plats,fr
Os corredores de maratona completaram a corrida em tempo recorde,pt
Space exploration inspires future generations of scientists,en
Mental health awareness has grown considerably recently,en
L invention d internet a changé la communication pour toujours,fr
As crianças precisam de nutrição adequada para um desenvolvimento saudável,pt
Das Feuer zerstörte mehrere historische Gebäude im Stadtzentrum,de
O documentário explorou as profundezas do Oceano Pacífico,pt
La cooperación internacional es vital para abordar desafíos globales,es
Il referendum determinerà il futuro politico della regione autonoma,it
A biblioteca guarda milhares de manuscritos históricos raros e valiosos,pt
Forests provide habitat for countless species of wildlife,en
O incêndio destruiu vários edifícios históricos no centro da cidade,pt
Os esforços de conservação da vida selvagem mostraram resultados positivos,pt
Les entreprises technologiques investissent massivement dans la recherche,fr
Weltraumforschung inspiriert künftige Generationen von Wissenschaftlern und Ingenieuren,de
Le site archéologique a révélé des artefacts de civilisations antiques,fr
Solarpanele sind nun günstiger als traditionelle Energiequellen für alle,de
Gli scienziati hanno scoperto una nuova specie di pesce abissale,it
Le vaccin s est révélé très efficace contre le virus dangereux,fr
Le sommet de la montagne était couvert de neige éternelle,fr
Machine learning is transforming modern industries,en
L orchestre symphonique a joué devant une salle de concert comble,fr
Os biólogos marinhos estudam ecossistemas complexos sob as ondas do mar,pt
As civilizações antigas construíram estruturas arquitetônicas notáveis,pt
Il virus si è diffuso rapidamente attraverso i confini internazionali,it
Los científicos han descubierto una nueva especie de pez,es
Le jardin a fleuri avec de magnifiques fleurs colorées du printemps,fr
Il trattato è stato firmato dai rappresentanti di dodici nazioni sovrane,it
A pesquisa genética oferece novas esperanças para doenças hereditárias,pt
A avalanche soterrou vários edifícios da estação de esqui completamente,pt
L équipe de basket ball a remporté le championnat après des années,fr
Der Roman erkundet Themen der Identität und Zugehörigkeit in der Gesellschaft,de
El texto antiguo fue finalmente descifrado por lingüistas expertos,es
The professor delivered an inspiring lecture to students,en
Le delta du fleuve abrite des espèces d oiseaux uniques et rares,fr
Le documentaire a exploré les profondeurs de l océan Pacifique,fr
Solar panels are now cheaper than traditional energy sources,en
L istruzione è il fondamento di una società prospera e moderna,it
Genetic research offers new hope for inherited diseases,en
The economy grew steadily throughout the fiscal year,en
L ospedale ha introdotto nuove procedure di trattamento medico avanzate,it
La robotique révolutionne la fabrication et la logistique mondiale,fr
Die Wahlergebnisse überraschten viele politische Analysten und Experten,de
La bourse a atteint un niveau record hier après midi,fr
Los niños aprenden idiomas mucho más rápido que los adultos,es
Engineers designed a revolutionary new transportation system,en
A música tem o poder de transcender as fronteiras culturais do mundo,pt
L économie a progressé régulièrement tout au long de l exercice fiscal,fr
